지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-01-01,4.8,50,906,2.6,50,904,.6,509,50
108,서울,2020-01-02,6.7,250,1437,4,290,1525,1.2,996,50
108,서울,2020-01-03,5.8,270,1122,3.5,270,1422,1.7,1508,290
108,서울,2020-01-04,8.5,340,1206,4.5,320,1228,1.9,1623,50
108,서울,2020-01-05,4.4,180,1312,2.9,70,2335,1.1,985,50
108,서울,2020-01-06,8.8,70,1505,5.4,70,1739,3.1,2705,70
108,서울,2020-01-07,9.5,90,2015,6.3,70,1846,4,3413,70
108,서울,2020-01-08,11.8,250,49,6.3,270,550,3.3,2875,270
108,서울,2020-01-09,7.2,270,1049,4.3,320,1223,2.3,1971,290
108,서울,2020-01-10,5.5,320,1810,3.7,320,1408,1.5,1300,290
108,서울,2020-01-11,7,320,1949,4.8,340,1956,1.9,1619,290
108,서울,2020-01-12,6.8,290,1714,4.1,290,1216,2.4,2031,290
108,서울,2020-01-13,8.3,270,1404,4.9,320,1218,2.3,1992,290
108,서울,2020-01-14,5.5,320,1516,3.3,320,1428,1.6,1387,290
108,서울,2020-01-15,8,290,1411,4.5,320,1418,1.9,1673,270
108,서울,2020-01-16,6.9,320,1709,4.4,340,1714,1.6,1417,320
108,서울,2020-01-17,6.7,320,1952,3.8,320,1927,1.5,1311,290
108,서울,2020-01-18,6.8,290,1636,4.2,270,1739,1.8,1569,270
108,서울,2020-01-19,10.9,290,1243,6.1,320,1459,2.2,1862,270
108,서울,2020-01-20,10.4,290,1759,5.7,270,1636,2.5,2202,270
108,서울,2020-01-21,5.6,70,1038,3.5,320,142,1.4,1209,320
108,서울,2020-01-22,6.3,70,1524,3.2,90,1602,1.7,1479,50
108,서울,2020-01-23,6.9,320,1313,4.7,320,1938,2,1701,290
108,서울,2020-01-24,6.4,320,1648,3.7,320,1737,1.7,1508,290
108,서울,2020-01-25,6.8,320,1941,3.9,320,1851,1.5,1309,290
108,서울,2020-01-26,11.1,90,2122,6.1,70,1948,2.7,2342,70
108,서울,2020-01-27,13.7,90,720,7,70,1649,4.6,3987,70
108,서울,2020-01-28,8.8,70,2030,5.4,70,2028,2.6,2263,50
108,서울,2020-01-29,5.8,50,947,3.6,70,1921,2.1,1837,70
108,서울,2020-01-30,5.7,290,1748,3,320,1433,1.8,1513,70
108,서울,2020-01-31,8.1,230,1545,4.4,270,1435,2.3,2022,270
108,서울,2020-02-01,7.7,320,1434,4.7,270,1457,1.7,1505,290
108,서울,2020-02-02,7.3,290,1815,4.7,320,1821,1.8,1564,290
108,서울,2020-02-03,9,290,1419,5.7,270,1448,3.1,2705,270
108,서울,2020-02-04,10.8,340,2351,6.2,340,2059,2.8,2376,320
108,서울,2020-02-05,10.2,320,50,5.5,320,154,3.3,2869,320
